ID,Close Date,Created Date,New Logo,Type,Stage,Billing Plan, ACV , Discount Amount , Amount , Net Amount 
545,7/24/17,3/17/17,1,Partner - Cloud Product,Closed Lost,3 Years,60000,       ,180000,180000
546,4/13/17,3/27/17,1,Partner - Cloud Product,Closed Lost,Annual,30000,,20000,20000
547,4/10/17,4/7/17,1,Partner - Cloud Product,Closed Lost,,32000,,32000,32000
548,5/9/17,4/11/17,1,Direct - OnPremise Product,Closed Lost,,30000,2000,32000,30000
549,6/14/17,4/19/17,1,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
550,8/10/17,4/19/17,1,Partner - OnPremise Product,Closed Lost,,30000,,30000,30000
551,7/20/17,4/23/17,1,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
552,5/11/17,4/25/17,1,Partner - OnPremise Product,Closed Lost,3 Years,32000,,96000,96000
553,6/20/17,5/1/17,1,Direct - OnPremise Product,Closed Lost,,49000,,49000,49000
554,7/18/17,5/3/17,1,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
555,9/5/17,6/14/17,1,Partner - OnPremise Product,Closed Won - Not Paid,2 Years,22000,       ,44000,44000
556,2/28/17,11/7/16,0,Partner - Cloud Product,Closed Lost,Annual,       ,,22000,22000
557,2/6/17,11/7/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
558,2/28/17,11/9/16,0,Direct - OnPremise Product,Closed Lost,Annual,19000,3000,22000,19000
559,2/15/17,11/11/16,0,Partner - OnPremise Product,Closed Lost,Annual,38000,11000,49000,38000
560,2/28/17,11/14/16,0,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
561,12/23/16,11/16/16,0,Partner - OnPremise Product,Closed Lost,3 Years,17600,13200,66000,52800
562,1/27/17,11/18/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,20020,1980,22000,20020
563,12/9/16,11/18/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22080,29760,96000,66240
564,5/30/17,11/21/16,1,Partner - OnPremise Product,Closed Lost,3 Years,22400,28800,96000,67200
565,3/6/17,11/22/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,50604,50742,147000,96258
566,4/20/17,12/1/16,1,Partner - OnPremise Product,Closed Lost,Annual,24000,8000,32000,24000
567,5/19/17,12/7/16,1,Partner - OnPremise Product,Closed Lost,3 Years,23667,25000,96000,71000
568,3/31/17,12/7/16,0,Partner - OnPremise Product,Closed Lost,3 Years,25600,19200,96000,76800
569,12/20/16,12/13/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
570,12/20/16,12/13/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
571,4/18/17,12/19/16,1,Partner - OnPremise Product,Closed Lost,3 Years,16500,16500,66000,49500
572,12/28/16,12/21/16,0,Partner - OnPremise Product,Closed Lost,3 Years,19200,38400,96000,57600
573,2/13/17,1/4/17,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
574,1/19/17,1/9/17,0,Partner - OnPremise Product,Closed Lost,Annual,25000,7000,32000,25000
575,7/31/17,1/18/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,54100,29789,96000,66211
576,6/15/17,1/24/17,1,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
577,2/7/17,1/26/17,1,Partner - OnPremise Product,Closed Won - Paid,Annual,39200,9800,49000,39200
578,4/10/17,1/26/17,0,Direct - OnPremise Product,Closed Lost,Annual,28000,4000,32000,28000
579,6/5/17,1/30/17,1,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
580,6/2/17,2/8/17,1,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
581,3/22/17,2/16/17,1,Partner - Cloud Product,Closed Won - Paid,5 Years,36694,56000,160000,104000
582,4/10/17,2/16/17,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
583,7/28/16,8/18/15,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
584,8/3/16,8/6/15,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
585,8/3/16,11/10/15,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
586,3/27/17,10/21/15,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
587,4/18/17,1/28/16,0,Partner - OnPremise Product,Closed Lost,Annual,100900,46100,147000,100900
588,8/10/16,2/8/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
589,7/28/16,2/4/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
590,8/8/16,2/22/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
591,7/28/16,2/25/16,0,Partner - OnPremise Product,Closed Lost,,49000,,49000,49000
592,8/8/16,3/14/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
593,12/15/16,3/24/16,0,Partner - OnPremise Product,Closed Lost,,55000,11000,66000,55000
594,11/2/16,3/28/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
595,7/28/16,5/19/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
596,4/12/17,5/24/16,0,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
597,9/13/16,4/5/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
598,7/28/16,4/9/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
599,8/1/16,4/21/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
600,7/28/16,4/29/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
601,7/28/16,4/29/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
602,7/28/16,5/9/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
603,7/28/16,5/12/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
604,8/9/16,5/17/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
605,3/27/17,8/29/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
606,10/12/16,9/9/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
607,10/7/16,9/21/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
608,3/15/17,9/21/16,0,Partner - Cloud Product,Closed Lost,Annual,       ,46100,147000,100900
609,8/18/16,6/28/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
610,7/26/16,6/29/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,26950,44100,98000,53900
611,9/1/16,6/30/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,24960,21120,96000,74880
612,7/27/16,7/5/16,0,Direct - Cloud Product,Closed Lost,3 Years,31394,16500,66000,49500
613,11/1/16,7/6/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
614,4/10/17,7/8/16,1,Direct - OnPremise Product,Closed Lost,Annual,36000,,36000,36000
615,8/8/16,7/15/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
616,8/22/16,7/26/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,53333,44100,147000,102900
617,11/4/16,8/1/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
618,9/9/16,8/3/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
619,8/26/16,8/8/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,33810,45570,147000,101430
620,9/26/16,8/11/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
621,8/12/16,8/11/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
622,9/6/16,8/19/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,15400,19800,66000,46200
623,11/28/16,8/19/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
624,12/29/16,8/24/16,1,Partner - Cloud Product,Closed Lost,3 Years,40638,24000,96000,72000
625,11/16/16,8/24/16,0,Partner - OnPremise Product,Closed Lost,,40000,,40000,40000
626,10/24/16,9/30/16,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,19800,6600,66000,59400
627,2/28/17,10/6/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
628,8/29/17,10/13/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,85910,163107,270000,106893
629,12/29/16,10/14/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,33750,123750,225000,101250
630,10/25/16,10/17/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
631,12/9/16,10/17/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
632,12/21/16,10/17/16,0,Partner - OnPremise Product,Closed Lost,,76000,20000,96000,76000
633,12/22/16,10/20/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22720,27840,96000,68160
634,12/12/16,10/24/16,1,Direct - Cloud Product,Closed Won - Paid,3 Years,33243,12000,66000,54000
635,11/14/16,10/27/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
636,6/12/17,5/10/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,39001,27926,96000,68074
637,6/27/17,5/11/17,1,Partner - OnPremise Product,Closed Won - Paid,Annual,20500,1500,22000,20500
638,11/3/15,11/3/15,0,Direct - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
639,2/13/17,1/23/17,0,Partner - OnPremise Product,Closed Lost,3 Years,75000,,225000,225000
640,8/1/16,5/18/16,0,Direct - Cloud Product,Closed Lost,,65000,       ,65000,65000
641,8/1/16,6/27/16,0,Direct - Cloud Product,Closed Lost,,147000,       ,147000,147000
642,10/1/16,7/1/16,0,Direct - Cloud Product,Closed Lost,,225000,       ,225000,225000
643,1/23/17,10/11/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
644,8/1/17,7/7/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,60000,45000,225000,180000
645,6/30/17,1/30/17,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
646,8/21/17,6/15/16,1,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
647,8/31/17,5/10/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,31835,16500,66000,49500
648,8/12/17,5/13/17,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
649,7/12/17,5/18/17,1,Partner - Cloud Product,Closed Lost,3 Years,87000,       ,147000,147000
650,6/29/17,5/30/17,1,Partner - Cloud Product,Closed Lost,3 Years,331500,       ,562500,562500
651,6/29/17,6/7/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
652,5/3/17,3/15/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,114510,131310,225000,93690
653,3/27/17,3/24/17,1,Partner - OnPremise Product,Closed Won - Paid,Annual,49000,,49000,49000
654,6/16/17,3/31/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,145000,315000,750000,435000
655,7/26/17,4/7/17,1,Partner - OnPremise Product,Closed Lost,,125000,,125000,125000
656,7/20/17,4/17/17,1,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
657,6/28/17,4/19/17,1,Partner - Cloud Product,Closed Lost,3 Years,244000,       ,375000,375000
658,6/30/17,4/20/17,1,Partner - Cloud Product,Closed Won - Not Paid,2 Years,32800,8800,44000,35200
659,7/31/17,7/13/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,25900,       ,77700,77700
660,12/16/16,12/5/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,41184,,123552,123552
661,4/7/17,12/15/16,0,Partner - Cloud Product,Closed Lost,Annual,130000,,100000,100000
662,4/8/17,12/22/16,0,Partner - Cloud Product,Closed Lost,3 Years,442218,,937500,937500
663,2/1/17,12/22/16,0,Partner - OnPremise Product,Closed Lost,Annual,195000,,195000,195000
664,4/7/17,1/5/17,0,Partner - OnPremise Product,Closed Lost,Annual,200000,,200000,200000
665,3/31/17,1/25/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,45480,28800,96000,67200
666,4/19/17,1/30/17,0,Partner - OnPremise Product,Closed Lost,Annual,150000,,150000,150000
667,5/8/17,2/1/17,1,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
668,3/31/17,2/1/17,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22400,9600,32000,22400
669,3/20/17,2/1/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,70133,22050,147000,124950
670,3/20/17,2/13/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,98982,63000,225000,162000
671,5/30/17,2/15/17,1,Partner - Cloud Product,Closed Lost,Annual,75000,       ,75000,75000
672,11/10/15,10/1/15,0,Partner - OnPremise Product,Closed Lost,,75000,,75000,75000
673,11/10/15,8/11/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,53546,17849,178488,160639
674,12/4/15,11/16/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
675,11/20/15,11/16/15,0,Partner - OnPremise Product,Closed Won - Paid,,85536,9504,95040,85536
676,12/11/15,12/4/15,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
677,12/11/15,12/4/15,0,Partner - OnPremise Product,Closed Lost,,60000,,60000,60000
678,4/18/16,12/18/15,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
679,12/21/15,9/1/15,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
680,12/23/15,10/19/15,0,Partner - OnPremise Product,Closed Won - Paid,,37400,6600,44000,37400
681,12/29/15,9/10/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,25000,21000,96000,75000
682,12/30/15,8/25/15,0,Partner - OnPremise Product,Closed Lost,,44000,,44000,44000
683,2/23/16,10/8/15,0,Partner - OnPremise Product,Closed Lost,,120000,,120000,120000
684,1/27/16,11/11/15,0,Partner - OnPremise Product,Closed Lost,,100000,,100000,100000
685,2/1/16,11/18/15,0,Partner - OnPremise Product,Closed Lost,,60000,,60000,60000
686,6/23/16,12/4/15,0,Partner - OnPremise Product,Closed Lost,,60000,,60000,60000
687,1/20/16,8/13/15,0,Partner - OnPremise Product,Closed Lost,,100000,,100000,100000
688,2/2/16,10/19/15,0,Partner - OnPremise Product,Closed Lost,,125000,,125000,125000
689,6/30/16,11/3/15,0,Partner - OnPremise Product,Closed Lost,2 Years,22000,,44000,44000
690,3/31/16,11/17/15,0,Partner - OnPremise Product,Closed Lost,,75000,,75000,75000
691,3/31/17,12/4/15,1,Partner - OnPremise Product,Closed Won - Paid,Annual,32000,,32000,32000
692,1/8/16,10/20/15,0,Partner - OnPremise Product,Closed Lost,,65000,,65000,65000
693,6/23/16,8/11/15,0,Partner - OnPremise Product,Closed Lost,2 Years,7420,7160,22000,14840
694,6/30/16,1/11/16,0,Partner - OnPremise Product,Closed Lost,,50000,,50000,50000
695,6/30/16,1/7/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,61500,40500,225000,184500
696,6/29/16,1/16/16,0,Partner - OnPremise Product,Closed Lost,,35000,,35000,35000
697,4/28/16,1/14/16,0,Partner - OnPremise Product,Closed Lost,,50000,,50000,50000
698,1/20/16,12/18/15,0,Partner - OnPremise Product,Closed Lost,,120000,,120000,120000
699,6/29/16,1/25/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
700,7/29/16,2/4/16,1,Partner - OnPremise Product,Closed Won - Paid,5 Years,125000,625000,1250000,625000
701,3/31/16,1/28/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,31500,52500,147000,94500
702,4/29/16,1/21/16,0,Partner - OnPremise Product,Closed Lost,,80000,,80000,80000
703,6/30/16,2/10/16,0,Partner - OnPremise Product,Closed Lost,,100000,,100000,100000
704,6/23/16,1/29/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
705,3/23/16,2/1/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22400,28800,96000,67200
706,11/2/16,1/29/16,0,Partner - OnPremise Product,Closed Lost,Annual,25000,,25000,25000
707,2/10/16,2/1/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
708,1/6/17,1/27/16,0,Partner - OnPremise Product,Closed Lost,3 Years,21333,,64000,64000
709,3/25/16,2/2/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,50000,75000,225000,150000
710,3/25/16,2/17/16,0,Partner - OnPremise Product,Closed Lost,,250000,,250000,250000
711,2/24/16,2/24/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
712,3/25/16,2/24/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
713,6/14/16,2/29/16,0,Partner - Cloud Product,Closed Lost,Annual,,,32000,32000
714,3/31/16,3/3/16,1,Direct - OnPremise Product,Closed Won - Not Paid,3 Years,30000,57000,147000,90000
715,3/25/16,3/3/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
716,3/28/16,3/10/16,0,Partner - OnPremise Product,Closed Lost,,75000,,75000,75000
717,9/30/16,3/16/16,0,Partner - Cloud Product,Closed Lost,Annual,,,75000,75000
718,9/30/16,3/22/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,24000,24000,96000,72000
719,4/1/16,3/23/16,0,Partner - OnPremise Product,Closed Lost,,100000,,100000,100000
720,4/11/17,3/30/16,0,Partner - OnPremise Product,Closed Lost,Annual,39600,,39600,39600
721,6/24/16,5/19/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,15400,13200,44000,30800
722,7/13/16,5/19/16,0,Partner - OnPremise Product,Closed Lost,3 Years,32000,,96000,96000
723,12/13/16,6/3/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22000,,66000,66000
724,12/21/16,6/3/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,45000,90000,225000,135000
725,8/26/16,3/31/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,67500,172500,375000,202500
726,7/5/16,3/31/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
727,9/6/16,4/1/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,62400,33600,96000,62400
728,5/31/16,4/8/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
729,6/27/16,4/19/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,12100,29700,66000,36300
730,12/12/16,4/25/16,0,Partner - OnPremise Product,Closed Lost,3 Years,32667,,98000,98000
731,6/30/16,5/11/16,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,17600,13200,66000,52800
732,10/19/16,9/16/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
733,12/30/16,9/20/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,27200,14400,96000,81600
734,9/19/16,6/20/16,0,Partner - OnPremise Product,Closed Lost,2 Years,75000,,150000,150000
735,8/20/16,7/6/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
736,10/28/16,7/14/16,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,22000,,66000,66000
737,10/14/16,7/15/16,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,29951,60149,150000,89852
738,8/3/16,7/18/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
739,8/23/16,7/26/16,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
740,12/21/16,8/10/16,0,Partner - OnPremise Product,Closed Lost,5 Years,37800,,189000,189000
741,3/30/17,10/4/16,0,Partner - OnPremise Product,Closed Lost,3 Years,22000,,66000,66000
742,4/7/17,10/17/16,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
743,3/13/17,10/26/16,0,Partner - Cloud Product,Closed Lost,Annual,150000,,100000,100000
744,12/27/16,11/1/16,0,Partner - Cloud Product,Closed Lost,Annual,,,32000,32000
745,6/16/17,5/25/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,60000,45000,225000,180000
746,6/16/17,5/25/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,19200,38400,96000,57600
747,3/1/16,10/19/15,0,Direct - OnPremise Product,Closed Lost,,13780,,13780,13780
748,8/11/15,8/3/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
749,8/18/15,8/14/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,21480,,21480,21480
750,9/3/15,8/13/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
751,9/10/15,8/31/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
752,9/30/15,9/29/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
753,9/11/15,8/4/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,14320,10740,53700,42960
754,8/28/15,8/4/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,13425,13425,53700,40275
755,8/31/15,8/6/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,16110,5370,53700,48330
756,9/23/15,9/12/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,25344,19008,95040,76032
757,10/7/15,9/1/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
758,10/9/15,9/23/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
759,10/13/15,10/12/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
760,10/23/15,9/2/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
761,10/24/16,9/30/15,1,Partner - OnPremise Product,Closed Won - Paid,Annual,25571,,25571,25571
762,10/30/17,9/30/15,0,Partner - OnPremise Product,Closed Won - Not Paid,Annual,25571,,25571,25571
763,10/22/15,10/1/15,0,Partner - OnPremise Product,Closed Won - Paid,2 Years,15215,5370,35800,30430
764,3/10/16,8/17/15,1,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
765,11/4/15,8/17/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
766,11/11/15,10/7/15,0,Direct - OnPremise Product,Closed Lost,,       ,,       ,       
767,11/9/15,11/9/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
768,9/30/15,9/24/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,15215,8055,53700,45645
769,11/25/15,8/6/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
770,11/12/15,11/3/15,0,Partner - OnPremise Product,Closed Won - Paid,,47256,6444,53700,47256
771,3/29/16,9/1/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
772,11/24/15,11/13/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
773,12/8/15,11/30/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,14320,10740,53700,42960
774,12/13/15,11/2/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
775,11/23/15,11/23/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
776,11/20/15,11/3/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,14320,10740,53700,42960
777,12/10/15,10/15/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
778,3/29/16,11/5/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
779,2/17/16,12/9/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
780,8/28/15,8/19/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,44622,4958,49580,44622
781,12/28/15,12/28/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,44622,19832,64454,44622
782,2/29/16,12/15/15,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,18000,42000,96000,54000
783,3/31/16,12/23/15,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
784,3/15/16,12/29/15,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,15400,19800,66000,46200
785,12/30/15,12/7/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
786,12/17/15,8/3/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,15394,23628,69810,46182
787,12/30/15,12/17/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
788,12/31/15,11/30/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,31680,9504,41184,31680
789,1/4/16,12/29/15,0,Partner - OnPremise Product,Closed Lost,Annual,-1901,1901,       ,-1901
790,12/31/15,11/12/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,5370,23270,17900
791,12/31/15,10/7/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,24993,,74980,74980
792,12/31/15,12/28/15,0,Partner - OnPremise Product,Closed Won - Paid,2 Years,15215,16110,46540,30430
793,12/28/15,12/28/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,42732,2728,45460,42732
794,2/18/16,9/14/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
795,1/7/16,8/12/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
796,12/14/15,11/16/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,14678,9666,53700,44034
797,2/4/16,9/22/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
798,1/29/16,10/13/15,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
799,3/24/16,12/17/15,0,Direct - OnPremise Product,Closed Lost,,       ,,       ,       
800,2/1/16,10/1/15,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,18040,7920,44000,36080
801,12/14/15,10/15/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
802,3/10/16,10/28/15,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
803,3/22/16,10/16/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
804,1/19/16,12/3/15,0,Direct - OnPremise Product,Closed Lost,,       ,,       ,       
805,3/25/16,12/16/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
806,3/22/16,1/14/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
807,3/31/16,1/6/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,18000,12000,66000,54000
808,4/14/16,12/14/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
809,2/12/16,12/9/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
810,11/19/15,11/19/15,0,Partner - OnPremise Product,Closed Lost,Annual,17900,,17900,17900
811,2/23/16,1/12/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
812,1/26/16,12/8/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
813,1/19/16,12/10/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
814,1/28/16,11/3/15,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,19140,5720,44000,38280
815,4/22/16,12/7/15,0,Direct - OnPremise Product,Closed Lost,,       ,,       ,       
816,1/26/16,1/19/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,10000,32000,22000
817,2/23/16,1/26/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
818,3/23/16,2/8/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
819,2/23/16,2/8/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
820,4/5/16,1/22/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
821,3/21/16,2/10/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22400,28800,96000,67200
822,3/30/16,2/3/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,15400,19800,66000,46200
823,4/15/16,2/9/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
