ID,Close Date,Created Date,New Logo,Type,Stage,Billing Plan, ACV , Discount Amount , Amount , Net Amount 
176,5/10/17,5/25/17,1,Direct - Cloud Product,Closed Won - Paid,3 Years,122435,92250,225000,132750
177,6/29/17,6/7/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,74700,123750,225000,101250
178,3/23/17,2/27/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,65165,25800,157500,131700
179,5/26/17,3/6/17,1,Partner - Cloud Product,Closed Lost,3 Years,232650,236250,525000,288750
180,4/18/17,3/10/17,1,Partner - OnPremise Product,Closed Lost,,100000,,100000,100000
181,3/31/17,3/24/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,26240,17280,96000,78720
182,3/31/17,3/28/17,1,Direct - Cloud Product,Closed Won - Not Paid,Annual,32750,4400,22000,17600
183,5/8/17,4/1/17,1,Partner - OnPremise Product,Closed Won - Not Paid,2 Years,42500,20000,105000,85000
184,7/26/17,4/6/17,1,Partner - Cloud Product,Closed Lost,Annual,79125,9375,37500,28125
185,7/6/17,4/7/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,37500,45000,157500,112500
186,6/28/17,4/13/17,1,Partner - Cloud Product,Closed Lost,3 Years,419000,       ,750000,750000
187,5/10/17,4/18/17,1,Partner - Cloud Product,Closed Lost,3 Years,50600,       ,67200,67200
188,7/26/17,6/28/17,1,Partner - Cloud Product,Closed Lost,3 Years,41000,       ,66000,66000
189,8/22/17,7/31/17,1,Partner - OnPremise Product,Closed Lost,,60000,15000,75000,60000
190,6/27/17,6/2/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,34390,13951,67200,53249
191,6/13/17,6/5/17,1,Partner - Cloud Product,Closed Lost,3 Years,32000,       ,96000,96000
192,8/9/17,6/8/17,1,Direct - Cloud Product,Closed Won - Not Paid,Annual,23989,9128,22000,12872
193,6/21/17,2/23/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,44470,16800,67200,50400
194,5/31/17,2/27/17,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,       ,22000,22000
195,3/31/17,3/1/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,36941,84000,147000,63000
196,3/17/17,3/2/17,1,Partner - Cloud Product,Closed Won - Paid,Annual,30285,6800,22400,15600
197,6/30/17,3/10/17,1,Partner - Cloud Product,Closed Won - Paid,4 Years,33650,68600,137200,68600
198,6/16/17,3/28/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,32800,13200,66000,52800
199,7/26/17,4/12/17,1,Partner - OnPremise Product,Closed Lost,3 Years,20000,6000,66000,60000
200,5/19/17,4/18/17,1,Direct - Cloud Product,Closed Won - Paid,3 Years,32216,17317,67200,49883
201,5/17/17,4/19/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
202,6/16/17,4/26/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,74700,123750,225000,101250
203,6/15/17,4/26/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,35750,33600,96000,62400
204,5/24/17,5/2/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,34720,13440,67200,53760
205,8/4/17,6/20/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,60900,44100,147000,102900
206,7/26/17,6/23/17,1,Partner - Cloud Product,Closed Lost,,34720,4480,22400,17920
207,8/22/17,7/13/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,38225,29280,96000,66720
208,8/9/17,8/2/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,49500,9600,96000,86400
209,12/7/16,11/7/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
210,12/15/16,11/7/16,1,Direct - Cloud Product,Closed Won - Paid,3 Years,32504,15000,67200,52200
211,3/13/17,11/7/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
212,12/30/16,11/15/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,19800,2200,22000,19800
213,12/21/16,11/16/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,29400,58800,147000,88200
214,12/30/16,11/22/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,38666,28800,96000,67200
215,12/15/16,12/1/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,21440,31680,96000,64320
216,12/16/16,12/2/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,50313,51450,147000,95550
217,3/30/17,12/7/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,34722,38400,96000,57600
218,3/27/17,12/8/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,38666,28800,96000,67200
219,12/30/16,12/20/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
220,12/30/16,12/28/16,1,Direct - Cloud Product,Closed Won - Paid,3 Years,38666,28800,96000,67200
221,6/30/17,1/17/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,56550,51450,147000,95550
222,2/27/17,2/1/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,20000,6000,66000,60000
223,3/31/17,2/15/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,32011,15000,66000,51000
224,3/20/17,2/15/17,1,Partner - Cloud Product,Closed Won - Paid,2 Years,30285,13600,44800,31200
225,4/6/17,2/15/17,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
226,8/25/15,8/25/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
227,8/5/15,8/4/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
228,9/2/15,8/10/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
229,9/2/15,8/19/15,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
230,2/12/16,8/25/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
231,2/12/16,10/19/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
232,11/3/15,9/14/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
233,9/30/15,9/29/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17005,895,17900,17005
